DATE;mean;min;max;mean_abs
2025-11-06;-0,5089473684210526;-0,71;-0,08;0,5089473684210527
2025-11-07;-0,38749999999999996;-0,88;0,04;0,3966666666666667
2025-11-08;-0,04770833333333333;-0,15;0,09;0,06909722222222223
2025-11-09;-0,07409722222222222;-0,1;0,05;0,08451388888888887
2025-11-10;-0,35118055555555555;-0,88;0,05;0,3621527777777778
2025-11-11;-0,35583333333333333;-0,81;0,05;0,3634722222222222
2025-11-12;-0,39597222222222217;-0,88;-0,07;0,3959722222222222
2025-11-13;-0,38;-0,87;-0,07;0,3800000000000001
