DATE;mean;min;max
2025-11-06;60,00526315789473;59,96;60,04
2025-11-07;60,002916666666664;59,95;60,08
2025-11-08;60,00534722222223;59,92;60,05
2025-11-09;60,00388888888889;59,95;60,08
2025-11-10;60,00527777777778;59,95;60,05
2025-11-11;60,00194444444445;59,93;60,05
2025-11-12;60,00048611111111;59,96;60,06
2025-11-13;60,00398305084746;59,95;60,07
